capteur_id,type_mesure,plage_nominale_min,plage_nominale_max,fabricant,date_installation,precision_capteur
cpt-001,temperature,10.0,85.0,Siemens,2020-01-24,0.5
cpt-002,vibration,0.0,12.0,Bosch,2021-03-24,0.1
cpt-003,pression,1.0,8.0,ABB,2020-10-14,0.2
cpt-004,temperature,10.0,85.0,Schneider,2020-04-08,0.5
cpt-005,vibration,0.0,12.0,Honeywell,2020-09-07,0.1
cpt-006,pression,1.0,8.0,Siemens,2023-04-15,0.2
cpt-007,temperature,10.0,85.0,Bosch,2020-03-23,0.5
cpt-008,vibration,0.0,12.0,ABB,2022-03-07,0.1
cpt-009,pression,1.0,8.0,Schneider,2022-02-03,0.2
cpt-010,temperature,10.0,85.0,Honeywell,2022-06-20,0.5
cpt-011,vibration,0.0,12.0,Siemens,2020-12-15,0.1
cpt-012,pression,1.0,8.0,Bosch,2023-02-18,0.2
cpt-013,temperature,10.0,85.0,ABB,2022-10-07,0.5
cpt-014,vibration,0.0,12.0,Schneider,2020-11-08,0.1
cpt-015,pression,1.0,8.0,Honeywell,2020-04-28,0.2
cpt-016,temperature,10.0,85.0,Siemens,2022-08-21,0.5
cpt-017,vibration,0.0,12.0,Bosch,2021-06-12,0.1
cpt-018,pression,1.0,8.0,ABB,2022-12-22,0.2
cpt-019,temperature,10.0,85.0,Schneider,2021-09-24,0.5
cpt-020,vibration,0.0,12.0,Honeywell,2023-07-09,0.1
cpt-021,pression,1.0,8.0,Siemens,2021-11-11,0.2
cpt-022,temperature,10.0,85.0,Bosch,2020-04-27,0.5
cpt-023,vibration,0.0,12.0,ABB,2022-07-09,0.1
cpt-024,pression,1.0,8.0,Schneider,2022-04-21,0.2
cpt-025,temperature,10.0,85.0,Honeywell,2023-03-09,0.5
cpt-026,vibration,0.0,12.0,Siemens,2022-12-19,0.1
cpt-027,pression,1.0,8.0,Bosch,2023-06-08,0.2
cpt-028,temperature,10.0,85.0,ABB,2021-09-16,0.5
cpt-029,vibration,0.0,12.0,Schneider,2020-02-05,0.1
cpt-030,pression,1.0,8.0,Honeywell,2023-10-03,0.2
cpt-031,temperature,10.0,85.0,Siemens,2023-09-09,0.5
cpt-032,vibration,0.0,12.0,Bosch,2020-11-24,0.1
cpt-033,pression,1.0,8.0,ABB,2022-11-11,0.2
cpt-034,temperature,10.0,85.0,Schneider,2023-03-15,0.5
cpt-035,vibration,0.0,12.0,Honeywell,2022-09-25,0.1
cpt-036,pression,1.0,8.0,Siemens,2020-11-10,0.2
cpt-037,temperature,10.0,85.0,Bosch,2021-03-12,0.5
cpt-038,vibration,0.0,12.0,ABB,2020-10-11,0.1
cpt-039,pression,1.0,8.0,Schneider,2020-06-27,0.2
cpt-040,temperature,10.0,85.0,Honeywell,2021-01-08,0.5
cpt-041,vibration,0.0,12.0,Siemens,2020-02-24,0.1
cpt-042,pression,1.0,8.0,Bosch,2020-09-25,0.2
cpt-043,temperature,10.0,85.0,ABB,2023-09-06,0.5
cpt-044,vibration,0.0,12.0,Schneider,2023-04-18,0.1
cpt-045,pression,1.0,8.0,Honeywell,2021-12-10,0.2
cpt-046,temperature,10.0,85.0,Siemens,2022-08-17,0.5
cpt-047,vibration,0.0,12.0,Bosch,2021-04-03,0.1
cpt-048,pression,1.0,8.0,ABB,2021-10-08,0.2
cpt-049,temperature,10.0,85.0,Schneider,2020-04-03,0.5
cpt-050,vibration,0.0,12.0,Honeywell,2022-02-17,0.1
